"year","code","name","K_AMD","pct_growth","pct_growth_text","pct_part","pct_part_text"
2019,"1001","Տարածքային կառավարման ոլորտում քաղաքականության մշակում՝ ծրագրերի համակարգում և մոնիտորինգի իրականացում",546859.6999999997,NA,NA,3.3181963275219815e-4,"0.0%"
2020,"1001","Տարածքային կառավարման ոլորտում քաղաքականության մշակում՝ ծրագրերի համակարգում և մոնիտորինգի իրականացում",1481450.9,1.70901457905931,"170.9%",7.983258067544598e-4,"0.1%"
2021,"1001","Տարածքային կառավարման ոլորտում քաղաքականության մշակում, ծրագրերի համակարգում և մոնիտորինգի իրականացում",1480125.5,-8.946634680905285e-4,"-0.1%",7.996885083215019e-4,"0.1%"
2022,"1001","Տարածքային կառավարման ոլորտում քաղաքականության մշակում, ծրագրերի համակարգում և մոնիտորինգի իրականացում",1384014.9000000004,-0.06493408835939896,"-6.5%",6.336947962163886e-4,"0.1%"
2023,"1001","Տարածքային կառավարման ոլորտում քաղաքականության մշակում, ծրագրերի համակարգում և մոնիտորինգի իրականացում",1571564.4000000004,0.1355111856093456,"13.6%",6.065537187572906e-4,"0.1%"
2024,"1001","Տարածքային կառավարման ոլորտում քաղաքականության մշակում, ծրագրերի համակարգում և մոնիտորինգի իրականացում",1645944.1,0.04732844546491366,"4.7%",5.455095626221982e-4,"0.1%"
2019,"1002","ՀՀ Արագածոտնի մարզում տարածքային պետական կառավարում",573778.1999999997,NA,NA,3.48153048405683e-4,"0.0%"
2020,"1002","ՀՀ Արագածոտնի մարզում տարածքային պետական կառավարում",578573.9,0.008358107714793395,"0.8%",3.117825069224867e-4,"0.0%"
2021,"1002","ՀՀ Արագածոտնի մարզում տարածքային պետական կառավարում",541679.8,-0.06376730785816642,"-6.4%",2.926610691119702e-4,"0.0%"
2022,"1002","ՀՀ Արագածոտնի մարզում տարածքային պետական կառավարում",458938.5,-0.15274946564372538,"-15.3%",2.1013280943243818e-4,"0.0%"
2023,"1002","ՀՀ Արագածոտնի մարզում տարածքային պետական կառավարում",531103.4,0.1572430728735985,"15.7%",2.049822090107416e-4,"0.0%"
2024,"1002","ՀՀ Արագածոտնի մարզում տարածքային պետական կառավարում",519351.4,-0.022127517918356432,"-2.2%",1.7212683897419498e-4,"0.0%"
2019,"1003","Հանրային առողջության պահպանում",4553278,NA,NA,0.0027628055857446873,"0.3%"
2020,"1003","Հանրային առողջության պահպանում",5772875.600000001,0.26785045850484,"26.8%",0.0031108932268110517,"0.3%"
2021,"1003","Հանրային առողջության պահպանում",8626568.8,0.49432785282953273,"49.4%",0.0046607993278980795,"0.5%"
2022,"1003","Հանրային առողջության պահպանում",6185306.600000001,-0.28299341912163267,"-28.3%",0.002832047982592444,"0.3%"
2023,"1003","Հանրային առողջության պահպանում",11510342.9,0.8609171128234774,"86.1%",0.0044424786474970895,"0.4%"
2024,"1003","Հանրային առողջության պահպանում",7334825.600000001,-0.36276219885682115,"-36.3%",0.0024309558902796896,"0.2%"
2019,"1004","Ոռոգման համակարգի առողջացում",16901296.9,NA,NA,0.010255248522416018,"1.0%"
2020,"1004","Ոռոգման համակարգի առողջացում",33935003.900000006,1.0078343159571386,"100.8%",0.01828693030979511,"1.8%"
2021,"1004","Ոռոգման համակարգի առողջացում",19980908.1,-0.41120065408331963,"-41.1%",0.01079537011787042,"1.1%"
2022,"1004","Ոռոգման համակարգի առողջացում",29780721.4,0.4904588545702784,"49.0%",0.013635610555023676,"1.4%"
2023,"1004","Ոռոգման համակարգի առողջացում",31111867.4,0.044698245624096966,"4.5%",0.012007792279434246,"1.2%"
